url,response code,novelty score,importance score,url_rank,visited_at,webpage_size
https://en.wikipedia.org/wiki/Flatbush_(TV_series),200,0.5,5,2.75,11:16:50,43301
https://www.thecity.nyc/brooklyn/2021/9/17/22680361/signs-sears-closing-last-nyc-store-brooklyn,200,0.5,0,0.25,11:16:50,162432
"https://en.wikipedia.org/wiki/Flatbush,_Brooklyn",200,0.3333333333333333,5,2.6666666666666665,11:16:50,257962
"https://en.wikipedia.org/wiki/Flatbush,_Brooklyn#Demographics",200,0.2,5,2.6,11:16:50,257962
"https://en.wikipedia.org/wiki/Flatbush,_Brooklyn#Subsections_and_geographic_boundaries",200,0.25,5,2.625,11:16:50,257962
https://patch.com/new-york/ditmaspark/ditmas-park-flatbush-pets-adoption-nearby,200,0.5,0,0.25,11:16:50,356078
https://www.nycgo.com/boroughs-neighborhoods/brooklyn/flatbush,200,0.5,0,0.25,11:16:50,88879
"https://en.wikipedia.org/wiki/Flatbush,_Brooklyn#Education",200,0.16666666666666666,5,2.5833333333333335,11:16:50,257962
"https://en.wikipedia.org/wiki/Flatbush,_Brooklyn#History",200,0.14285714285714285,85,42.57142857142857,11:16:51,257962
https://bronx.news12.com/police-4-people-injured-2-critically-in-east-flatbush-shooting,200,0.5,0,0.25,11:16:52,110686
http://s-media.nyc.gov/agencies/lpc/lp/2469.pdf,200,0.5,1,0.75,11:16:54,1443666
http://www.iloveny.com/,200,0.5,0,0.25,11:16:55,699782
http://longislandgenealogy.com/histflat.html,200,0.5,14,7.25,11:16:55,40109
http://brooklyn.news12.com/,200,0.5,0,0.25,11:16:55,265831
"http://content.time.com/time/politics/article/0,8599,1865756,00.html",200,0.5,14,7.25,11:16:56,44258
http://maps.nyc.gov/,200,0.5,14,7.25,11:16:56,7159
http://hudsonvalley.news12.com/,200,0.5,1,0.75,11:16:56,279571
http://mobile.nytimes.com/2016/11/25/movies/paul-sylbert-dead-oscar-winner-heaven-can-wait.html,200,0.5,14,7.25,11:16:57,310963
http://longisland.news12.com/,200,0.5,2,1.25,11:16:57,278566
http://labs.time.com/,200,0.5,0,0.25,11:16:57,86040
http://subscription-assets.timeinc.com/prod/assets/themes/magazines/default/template-resources/html/legal/ti-corp-behavioral.html,200,0.5,1,0.75,11:16:57,4140
http://subscription-assets.time.com/prod/assets/themes/magazines/SUBS/templates/velocity/site/td-learnmore1111/lp.html,200,0.5,1,0.75,11:16:57,154851
http://timemagazine.tumblr.com/,200,0.5,0,0.25,11:16:58,175302
http://opinion.latimes.com/opinionla/2008/12/patrick-dont-pr.html,200,0.5,0,0.25,11:16:58,20292
http://time.com/,200,0.5,63,31.75,11:16:58,195027
http://www.adg.org/?PLAY=1&Vcategory=Profiles&Vid=1193803691&Vsection=ADG+TV&content=videos,200,0.5,0,0.25,11:17:00,67014
http://confluencefilmblog.blogspot.com/2016/11/heaven-does-wait-remembrance-of-paul.html,200,0.5,0,0.25,11:17:00,98405
http://adg800covid19.info/,200,0.5,16,8.25,11:17:01,27272
http://categoryd.blogspot.com/,200,0.5,0,0.25,11:17:01,196813
http://snltranscripts.jt.org/89/89abush.phtml,200,0.5,0,0.25,11:17:01,124728
http://www.belfasttelegraph.co.uk/entertainment/music/neil-diamond-ive-waited-70-years-for-happiness-30702468.html,200,0.5,14,7.25,11:17:01,178194
http://adg.org/,200,0.5,0,0.25,11:17:03,66929
http://confluencefilmmakers.blogspot.com/,200,0.5,0,0.25,11:17:03,23659
http://connecticut.news12.com/,200,0.5,3,1.75,11:17:03,270681
http://www.aboutads.info/consumers,200,0.5,2,1.25,11:17:04,28779
http://confluencepetprojects.blogspot.com/,200,0.5,0,0.25,11:17:04,30043
http://confluencefilmstore.blogspot.com/,200,0.5,0,0.25,11:17:04,67742
http://confluencejohngross.blogspot.com/,200,0.5,0,0.25,11:17:05,34959
http://www.brooklyn.cuny.edu/web/about/campus/visit.php,200,0.5,14,7.25,11:17:05,51005
http://newjersey.news12.com/,200,0.5,4,2.25,11:17:06,272781
http://confluencevideo.blogspot.com/,200,0.5,0,0.25,11:17:06,73644
http://filmbrain.typepad.com/filmbrain/,200,0.5,0,0.25,11:17:06,143244
http://info.brooklyn.cuny.edu/confluence/display/technology/Digital+Toolbox,200,0.5,11,5.75,11:17:06,75577
http://vimeo.com/2525817,200,0.5,9,4.75,11:17:06,197628
http://confluenceasili.blogspot.com/,200,0.5,0,0.25,11:17:07,20631
http://www.candlerblog.com/,200,0.5,0,0.25,11:17:07,40610
http://alittledeathmovie.tumblr.com/,200,0.5,0,0.25,11:17:08,49941
http://candlerblog.com/2009/03/23/welcome-to-the-candler-blog/,200,0.5,9,4.75,11:17:09,7794
http://disqus.com/?ref_noscript,200,0.5,0,0.25,11:17:09,4451
http://westchester.news12.com/,200,0.5,5,2.75,11:17:10,279879
http://infotech.brooklyn.cuny.edu/pdf/emailapp.pdf,200,0.5,0,0.25,11:17:10,205210
http://feedpress.me/candlerblog,200,0.5,13,6.75,11:17:10,96885
http://blog.allmovie.com/author/jralske/,200,0.5,1,0.75,11:17:10,238124
http://filmbrain.tumblr.com/post/95773041/splash-from-bertoluccis-partner,200,0.5,1,0.75,11:17:10,28315
http://confluencefilmography.blogspot.com/,200,0.5,12,6.25,11:17:10,62448
http://poritsky.com/,200,0.5,0,0.25,11:17:11,7342
http://octopress.org/,200,0.5,1,0.75,11:17:11,15275
http://ifcblog.typepad.com/ifc_blog/,200,0.5,0,0.25,11:17:11,101571
http://pullquote.typepad.com/,200,0.5,1,0.75,11:17:11,45472
http://amctv.com/,200,0.5,0,0.25,11:17:12,238363
http://greg.org/,200,0.5,0,0.25,11:17:12,145849
http://outoffocus.typepad.com/,200,0.5,2,1.25,11:17:12,137756
http://ethanschoonover.com/solarized,200,0.5,13,6.75,11:17:13,37238
http://bigscreenlittlescreen.net/,200,0.5,0,0.25,11:17:13,4758
http://chutry.wordherders.net/,200,0.5,1,0.75,11:17:13,235
http://deanattali.com/beautiful-jekyll/,200,0.5,0,0.25,11:17:13,820
http://amc.tumblr.com/,200,0.5,0,0.25,11:17:14,104416
http://newyork.timeout.com/articles/film/81122/loot-film-review,200,0.5,4,2.25,11:17:14,193042
http://culturespace.typepad.com/,200,0.5,0,0.25,11:17:14,50989
http://blog.technomadic.org/,200,0.5,0,0.25,11:17:15,95
http://bettercallsaulamc.tumblr.com/,200,0.5,0,0.25,11:17:15,77650
http://fuse.tv/,200,0.5,0,0.25,11:17:15,194068
"http://film.guardian.co.uk/festivals/news/0,,2256320,00.html",200,0.5,1,0.75,11:17:16,229566
http://editions.lib.umn.edu/panorama/article/looking-for-love/,200,0.5,0,0.25,11:17:16,84820
http://fountain.io/,200,0.5,0,0.25,11:17:16,9115
http://haltamc.tumblr.com/,200,0.5,0,0.25,11:17:16,75002
http://entertainment.timesonline.co.uk/tol/arts_and_entertainment/film/film_reviews/article3364108.ece,200,0.5,3,1.75,11:17:17,50028
http://ifccenter.com/,200,0.5,0,0.25,11:17:17,94875
http://ifcfilms.com/,200,0.5,0,0.25,11:17:17,63010
http://gohugo.io/,200,0.5,0,0.25,11:17:17,53385
http://ifctv.com/,200,0.5,0,0.25,11:17:18,103407
http://longtail.typepad.com/,200,0.5,0,0.25,11:17:19,48232
http://justinhileman.com/,200,0.5,0,0.25,11:17:19,25586
http://johnaugust.com/about,200,0.5,0,0.25,11:17:19,8339
http://letterboxd.com/poritsky/,200,0.5,1,0.75,11:17:19,66777
http://madmenamc.tumblr.com/,200,0.5,2,1.25,11:17:20,55318
http://mark-story.com/,200,0.5,0,0.25,11:17:20,13655
http://mag.uchicago.edu/arts-humanities/channeling-icarriei,200,0.5,0,0.25,11:17:20,48577
